Freq/Hz,Re(Z)/mohm cm2,Minus Im(Z) / mohm cm2
5.01E+03,65.0575,-7.74375
4.47E+03,66.505,-5.305
3.98E+03,67.895,-2.726
3.55E+03,68.74,-0.1874575
3.16E+03,69.58,2.066
2.82E+03,70.3025,4.10225
2.51E+03,70.9275,6.13025
2.24E+03,71.57,7.96775
2.00E+03,72.3275,9.67275
1.78E+03,73.025,11.37875
1.58E+03,73.845,13.04325
1.41E+03,74.7375,14.639
1.26E+03,75.6875,16.28825
1.12E+03,76.7,17.957
1.00E+03,77.8425,19.6445
8.91E+02,79.055,21.43675
7.94E+02,80.26,23.225
7.08E+02,81.6575,25.16
6.31E+02,83.2025,27.235
5.62E+02,84.905,29.33
5.01E+02,86.755,31.525
4.47E+02,88.7375,33.8525
3.98E+02,91,36.235
3.55E+02,93.425,38.7275
3.16E+02,96.14,41.3025
2.82E+02,99,43.9475
2.51E+02,102.11,46.57
2.24E+02,105.6125,49.3575
2.00E+02,109.225,52.2825
1.78E+02,113.44,54.94
1.58E+02,117.8,57.7225
1.41E+02,122.3725,60.2675
1.26E+02,127.3325,62.8775
1.12E+02,132.3725,65.3025
1.00E+02,137.7925,67.5
8.91E+01,143.3975,70.0175
7.94E+01,149.2225,71.9775
7.08E+01,155.18,73.8675
6.31E+01,161.2,75.5775
5.62E+01,167.415,77.1
5.01E+01,173.3225,78.0625
4.47E+01,179.665,79.705
3.98E+01,186.0925,80.98
3.55E+01,192.4025,81.975
3.16E+01,198.685,83.365
2.82E+01,205.59,84.6125
2.51E+01,212.2425,85.755
2.24E+01,219.165,87.36
2.00E+01,226.17,87.82
1.78E+01,233.4575,88.9025
1.58E+01,240.905,89.6725
1.41E+01,248.3175,90.0675
1.26E+01,256.35,90.1125
1.12E+01,264.7,89.8325
1.00E+01,272.55,89.045
8.91E+00,279.475,87.3975
7.94E+00,287.2,86.32
7.08E+00,295.3,85.425
6.31E+00,302.925,83.87
5.62E+00,310.025,82.5575
5.01E+00,318.275,80.6625
4.47E+00,326.7,78.9225
3.98E+00,333.825,76.4925
3.55E+00,341.5,74.3725
3.16E+00,347.1,69.4825
2.82E+00,353.325,64.14
2.51E+00,358.4,60.65
2.24E+00,362,56.0325
2.00E+00,366.625,51.0075
1.78E+00,369.7,47.7125
1.58E+00,373.475,42.9275
1.41E+00,375.325,38.205
1.26E+00,377.175,34.23
1.12E+00,380.225,31.4925
1.00E+00,382.525,26.9225
8.91E-01,383.8,22.7075
7.94E-01,385.175,19.677
7.08E-01,384.775,15.8565
6.31E-01,385.55,12.0895
5.62E-01,386.725,8.91125
5.01E-01,386.975,5.48925
4.47E-01,386.275,2.5665
3.98E-01,384.4,0.086945
3.55E-01,384.65,-2.48915
3.16E-01,382.3,-5.16675
2.82E-01,384.15,-7.2025
2.51E-01,380.9,-9.98
2.24E-01,379.925,-11.61725
2.00E-01,380.5,-13.8015
1.78E-01,377.25,-16.17975
1.58E-01,376.25,-17.17225
1.41E-01,374.9,-19.25675
1.26E-01,370.55,-20.94425
1.12E-01,370.25,-23.922
1.00E-01,366.325,-26.205
8.91E-02,365.175,-28.0425
7.94E-02,363.65,-30.225
7.08E-02,363,-31.3675
6.31E-02,359.575,-33.7
5.62E-02,358.325,-35.1375
5.01E-02,353.325,-36.28
4.47E-02,351.725,-38.5625
3.98E-02,347.675,-39.805
3.55E-02,341.7,-39.805
3.16E-02,336.05,-40.25
2.82E-02,332.175,-41.3925
2.51E-02,329.25,-41.045
2.24E-02,325.15,-39.8825
2.00E-02,318.325,-38.365
1.78E-02,318.475,-36.925
1.58E-02,317,-36.925
1.41E-02,311.975,-34.6925
1.26E-02,310.4,-33.55
1.12E-02,308.05,-31.2675
1.00E-02,305.625,-29.58
8.91E-03,305.875,-28.34
7.94E-03,304.175,-26.75
7.08E-03,303.225,-25
6.31E-03,301.1,-24.7525
5.62E-03,299.875,-23.27675
5.01E-03,299.425,-22.68125
5.00E-03,300.575,-22.69325
